Descrição;Tipo;Status;Data;Hora
Reunião de equipe;Recorrente;Agendada;2023-11-29 10:52:28;10:15:30
Atualização de software;Única;Concluída;2023-02-07;10:15:30
Preparação para apresentação;Recorrente;Em Andamento;2023-02-08;10:15:30
Entrega de relatório mensal;Única;Em Andamento;2023-02-09;10:15:30
Treinamento de novos funcionários;Recorrente;Agendada;2023-02-10;10:15:30
Manutenção de equipamentos;Única;Concluída;2023-02-11;10:15:30
Tarefa Adicional 1;Recorrente;Em Andamento;2023-02-12;10:15:30
Tarefa Adicional 2;Única;Concluída;2023-02-13;10:15:30
Tarefa Adicional 3;Recorrente;Em Andamento;2023-02-14;10:15:30
Tarefa Adicional 4;Única;Em Andamento;2023-02-15;10:15:30
Tarefa Adicional 5;Recorrente;Concluída;2023-02-16;10:15:30
Tarefa Adicional 6;Única;Em Andamento;2023-02-17;10:15:30
Tarefa Adicional 7;Recorrente;Em Andamento;2023-02-18;10:15:30
Tarefa Adicional 8;Única;Concluída;2023-02-19;10:15:30
Tarefa Adicional 9;Recorrente;Em Andamento;2023-02-20;10:15:30
Tarefa Adicional 10;Única;Em Andamento;2023-02-21;10:15:30
